strategy_id,primary_id,Edgar_Class,CSC.Sector,CSC.Subsector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source,value_original,value_hp
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.37857127,2036,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.37857127,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.404692348,2037,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.404692348,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.43047971,2038,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.43047971,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.455975475,2039,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.455975475,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.481168194,2040,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.481168194,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.506074153,2041,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.506074153,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.530673077,2042,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.530673077,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.554963627,2043,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.554963627,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.578943918,2044,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.578943918,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.602628401,2045,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.602628401,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.626027054,2046,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.626027054,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.649120504,2047,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.649120504,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.671921674,2048,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.671921674,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.694447062,2049,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.694447062,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.716700363,2050,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.716700363,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.306905,2022,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.306905,NA
0,0,AG - Livestock:N2O,Agriculture,AG - Livestock,0.310677003,2023,N2O,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,0.310677003,NA
